run_id,cohort,task,samp_frac,final_acc,steps_to_crit,total_train_steps
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dlyms,0.05081,0.9939501725145454,3848,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.rtgo,0.05080666666666667,0.9997350552607795,2220,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.multidm,0.050465,0.9802554521553573,5778,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dlynms,0.050435,0.9573860041589352,6589,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.ctxgo,0.05039833333333334,0.9999999961015146,12098,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.rtantictxgo,0.05035166666666667,0.9949374999999996,2527,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.go,0.05030833333333333,0.9997350552607795,3251,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dm2,0.05019166666666667,0.9381010594228156,28373,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.catdlynms,0.050113333333333336,0.9966782232341496,15097,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dlyantigo,0.04996166666666667,0.9999485574387053,11903,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dlyctxgo,0.04991166666666667,0.9999788663002828,15383,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dlyantictxgo,0.049868333333333334,0.9993991053314488,14078,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dlygo,0.049791666666666665,0.9998713602228232,12398,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dm1,0.04971833333333334,0.9706848889156644,8241,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.catdlyms,0.04960166666666667,0.9726809760521324,12692,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.antigo,0.04958,0.999998662162598,4578,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.antidlydm1,0.049525,0.83057376455444,168062,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.antidm1,0.04946333333333333,0.9493278399390612,25097,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.antictxgo,0.04938833333333333,0.9999509052049294,4955,600000
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dlydm1,0.04931,0.8370342092794574,159610,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dlyms,0.05060166666666667,0.946996077785244,5094,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dlyantigo,0.050585,0.9879148207747966,13740,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.rtantictxgo,0.050458333333333334,0.9999999999999616,2528,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.multidm,0.050435,0.9968095047982664,3314,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.rtgo,0.050396666666666666,0.9997833049568772,1889,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.antidlydm1,0.05025166666666667,0.9075530179673424,135652,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.ctxgo,0.05021833333333333,0.9999987486552606,5741,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.antictxgo,0.050205,0.9958991472787634,4929,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dlynms,0.05003166666666667,0.9955833301689592,6652,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dlyctxgo,0.04998,0.9773573214932388,10278,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.antigo,0.04989333333333333,0.9990600588101548,3743,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.catdlyms,0.04985333333333333,0.9865610865825328,6845,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.catdlynms,0.049813333333333334,0.9480892953582748,7832,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.go,0.04978666666666667,0.9999999999999994,3256,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.antidm1,0.04969666666666667,0.9579553406673208,13877,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dm1,0.049685,0.9681301818222128,6618,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dlygo,0.049611666666666665,0.99602793565407,5392,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dlyantictxgo,0.049541666666666664,0.9924641737073556,14302,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dlydm1,0.04950333333333334,0.8300708139361521,129203,600000
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,poli.dm2,0.049451666666666665,0.9601684145405226,18923,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.dlyms,0.05108666666666667,0.9968314575771546,4463,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.dlyctxgo,0.050665,0.9972350375660872,15332,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.antictxgo,0.05051666666666667,0.992618874990503,5626,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.go,0.05043,0.9938550838438016,2959,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.dlyantigo,0.05031666666666667,0.9999999999999994,22283,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.rtgo,0.050258333333333335,0.9999999999999994,2115,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.dlygo,0.050148333333333336,0.9989292159247336,11036,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.catdlyms,0.050025,0.9891769098449328,10224,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.multidm,0.050021666666666666,0.9931593971914172,4595,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.ctxgo,0.050008333333333335,0.9998783346377792,11339,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.antidlydm1,0.04997833333333333,0.8268701343298772,124275,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.rtantictxgo,0.049935,0.9943749999999996,2517,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.dlynms,0.04991,0.9990567799973412,5747,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.catdlynms,0.04976166666666667,0.998338496762514,20428,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.antigo,0.04975333333333333,0.9999999999999964,4704,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.dlyantictxgo,0.049708333333333334,0.99997950202322,22945,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.dm1,0.049558333333333336,0.9632873110387914,6956,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.dm2,0.04952666666666666,0.9587427634809635,19757,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.antidm1,0.049225,0.9523339012191552,36283,600000
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,poli.dlydm1,0.049166666666666664,0.8257519712473123,112853,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.rtgo,0.051576666666666666,0.9999999999999994,1771,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.ctxgo,0.05107,0.9971537282061212,9359,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.dlyms,0.050675,0.9971142088457118,4725,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.dlyctxgo,0.05064333333333333,0.9891637338005008,11241,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.rtantictxgo,0.05051,0.9999999999999994,2319,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.antictxgo,0.05044833333333333,0.9999998630289744,5534,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.antigo,0.05044333333333333,0.997451899580734,4825,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.go,0.050425,0.9997292805709695,3155,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.dlygo,0.050258333333333335,0.9793699713491972,9391,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.dlynms,0.05019,0.9998292516899444,5288,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.dlyantigo,0.05015833333333333,0.995635335632006,24992,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.multidm,0.049966666666666666,0.994969636020964,4307,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.dlyantictxgo,0.04994166666666667,0.995011124910218,24350,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.catdlyms,0.04957166666666667,0.9836592658139892,9878,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.catdlynms,0.049465,0.9844058615090056,18900,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.antidlydm1,0.049365,0.8289767457498703,132286,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.antidm1,0.04919166666666667,0.9768223377470464,20538,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.dlydm1,0.048758333333333334,0.8082362909050597,127418,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.dm2,0.048715,0.9460135414748688,20345,600000
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,poli.dm1,0.048626666666666665,0.9513220024627886,6101,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.rtgo,0.05094166666666667,0.9999999999947926,2133,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlyms,0.050825,0.986978720134422,4531,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.multidm,0.050438333333333335,0.985707385119502,5674,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.antigo,0.05033166666666666,0.9999999999999492,5887,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.antidlydm1,0.050235,0.8733190534568398,134191,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.catdlyms,0.05021833333333333,0.9938253585428768,6537,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlynms,0.05016166666666667,0.9901375167669872,6746,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.catdlynms,0.050131666666666665,0.9998403962902952,9566,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.ctxgo,0.050028333333333334,0.99923111695952,8018,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlyantigo,0.05000333333333333,0.9522350195389524,19020,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlygo,0.049955,0.9999999996303828,7684,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.rtantictxgo,0.04995,0.999999999999464,2519,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.antictxgo,0.04994833333333333,0.9999736258042776,5965,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.go,0.04992833333333333,0.999999998826376,3862,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dm1,0.049805,0.9530386026583292,7442,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlyctxgo,0.04967,0.999988285840856,11253,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dm2,0.04961,0.9345521231645476,17612,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlydm1,0.04953333333333333,0.8386134194526225,167790,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.antidm1,0.04949,0.9312994791284724,18222,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlyantictxgo,0.048795,0.9997151285513446,18079,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlyms,0.05103666666666667,0.923557822103396,4537,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlynms,0.05042,0.9727335422995402,7124,600000
