"subj_global","dataset","alpha_hl","beta_hl","T","eps","beta0","beta1","aic","signal_sd","tau_ratio","R_noise","stickiness","valid_mvt"
"1","MPI",1,20,0.0140508405201354,-0.0409654407211414,-2.91551531471988,-71.1701195787514,58.6973300687063,0.0189499404951797,20,0.741471485027064,-2.91551531471988,TRUE
"10","MPI",1,2,0.014570915458565,-0.0289180674733411,-1.98464314445958,-68.6298676870152,70.8883902685937,0.0101944438445881,2,1.42929969311669,-1.98464314445958,TRUE
"100","MPI",10,20,-0.00407873774159902,0.0142416755239142,-3.49168699391074,245.173890392855,49.5068627394706,0.00388632006280014,2,1.04951153679819,-3.49168699391074,FALSE
"101","MPI",1,3,0.0183292664514291,-0.0188659407192385,-1.0292796369801,-54.5575570440808,56.781747027261,0.0138434261562688,3,1.32404119070834,-1.0292796369801,TRUE
"102","MPI",3,4,0.00209982882853418,-0.00232300313890562,-1.10628214421041,-476.229293745847,40.4973587795534,0.00210824315171045,1.33333333333333,0.996008845958094,-1.10628214421041,TRUE
"103","MPI",7,8,0.000651813623662583,-0.00101141721546063,-1.55169695560735,-1534.18088192286,58.09911884594,0.000539260063861397,1.14285714285714,1.2087185151358,-1.55169695560735,TRUE
"104","MPI",7,9,0.000999978702557111,-1.01830067919889e-05,-0.0101832236686134,-1000.02129789648,42.4332478540219,0.000976926097973189,1.28571428571429,1.02359708132657,-0.0101832236686134,TRUE
"105","MPI",6,7,0.00196694365750398,-0.00346397427882794,-1.76109481611877,-508.402971373865,68.7994400572713,0.000909036117300152,1.16666666666667,2.16376843567649,-1.76109481611877,TRUE
"106","MPI",10,12,0.00142085251716685,-0.00205629358878039,-1.44722521439494,-703.802814097822,66.7459151276926,0.000896253744183801,1.2,1.58532394022051,-1.44722521439494,TRUE
"107","MPI",1,2,0.0152976879585486,-0.0247856888843658,-1.62022450395945,-65.369355337202,59.5260985907547,0.0104703648241724,2,1.46104631647902,-1.62022450395945,TRUE
"108","MPI",1,14,0.0247431015980414,-0.020590226827597,-0.832160299144829,-40.4153050917092,63.8308871575214,0.0199228421888808,14,1.24194637308581,-0.832160299144829,TRUE
"109","MPI",2,9,0.00744609445492736,-0.013970202642897,-1.8761785426523,-134.298591839412,59.5787535288605,0.00912985018150318,4.5,0.815576850320385,-1.8761785426523,TRUE
"11","MPI",6,20,0.0097648025626274,-0.0176621257351503,-1.80875400417702,-102.408624607248,72.3372081117251,0.00538043574007339,3.33333333333333,1.81487207251623,-1.80875400417702,TRUE
"110","MPI",1,1,NA,NA,-1.5755363512923,NA,66.1401850686136,0,1,NA,-1.5755363512923,NA
"111","MPI",1,20,0.0249914274707066,-0.040261765228887,-1.61102303084045,-40.0137207517313,52.9867550374055,0.0211360997681308,20,1.18240487814071,-1.61102303084045,TRUE
"112","MPI",1,10,0.024409844845174,-0.0199824402159676,-0.818622172435407,-40.9670772732382,52.7698477117712,0.0207989733447164,10,1.17360816039388,-0.818622172435407,TRUE
"113","MPI",6,7,0.000813819583463023,-0.000237541745013226,-0.291885019530277,-1228.7735762572,52.6442901684123,0.000706517905119093,1.16666666666667,1.15187396889233,-0.291885019530277,TRUE
"114","MPI",2,3,0.00351961574016697,-0.00700018987341823,-1.98890742348088,-284.121925182822,29.4149771510391,0.00420570025277538,1.5,0.836867947934315,-1.98890742348088,TRUE
"115","MPI",6,7,0.000793615311476843,-0.00105718496596451,-1.3321126125921,-1260.05633401792,37.0289711420008,0.000699979515269515,1.16666666666667,1.13376933776594,-1.3321126125921,TRUE
"116","MPI",1,1,NA,NA,-1.49664241828875,NA,80.0316395198818,0,1,NA,-1.49664241828875,NA
"117","MPI",1,1,NA,NA,-1.98591548353235,NA,44.722432598729,0,1,NA,-1.98591548353235,NA
"119","MPI",1,17,0.0035420438253805,-0.00835697495638539,-2.35936520505577,-282.322876084848,24.9486313187963,0.0178508959058276,17,0.198423868699171,-2.35936520505577,TRUE
"12","MPI",4,5,0.000730087837236278,0.00215820535374694,2.95608999859079,-1369.69820478789,25.4213300335733,0.000880995146169911,1.25,0.828708126724992,2.95608999859079,TRUE
"120","MPI",1,2,0.0114528868531103,-0.0268977624176514,-2.34855742160297,-87.3142302744764,45.2839106400823,0.0103003626594758,2,1.11189161311464,-2.34855742160297,TRUE
"121","MPI",1,1,NA,NA,-1.33500106673182,NA,51.1270470480713,0,1,NA,-1.33500106673182,NA
"122","MPI",1,4,0.0191559749073754,-0.0193638526998447,-1.01085185136619,-52.2030335096638,40.6339556121407,0.0167977652407718,4,1.14038829765758,-1.01085185136619,TRUE
"123","MPI",1,2,0.0127306183027467,-0.0304150750661014,-2.38912787602306,-78.5507801914262,78.0880519371536,0.0104280438238073,2,1.22080598411781,-2.38912787602306,TRUE
"124","MPI",10,20,0.00316737794684976,-0.00410472458035091,-1.29593772806097,-315.718558624994,68.7858708203444,0.00229869439757173,2,1.37790301755452,-1.29593772806097,TRUE
"125","MPI",1,2,0.00560316136714966,-0.0168143415057875,-3.00086690423856,-178.470676547497,59.4359296895341,0.00961935640552733,2,0.582488176020805,-3.00086690423856,TRUE
"126","MPI",1,20,0.0137808008020947,-0.0274429158993982,-1.99138760464681,-72.5647235136003,66.7183515664964,0.0195438724674543,20,0.705121302088076,-1.99138760464681,TRUE
"127","MPI",1,2,0.0116516297580102,-0.0157326108415206,-1.35024980781807,-85.82490353442,59.5505838071728,0.0110027756741625,2,1.05897185429049,-1.35024980781807,TRUE
"128","MPI",1,9,0.0162215496366798,0.00107722942411861,0.0664073068384791,-61.646391522227,33.4576552267819,0.0188225847600852,9,0.861813074210663,0.0664073068384791,TRUE
"129","MPI",2,4,0.00702577087185309,-0.0104682133543805,-1.48997363354371,-142.333135856485,49.1894785150295,0.0057418061158843,2,1.22361687769582,-1.48997363354371,TRUE
"13","MPI",3,7,0.00299794443095964,0.0071758318633476,2.39358401351376,-333.561886495641,25.0278775851984,0.00373571066523153,2.33333333333333,0.802509803251541,2.39358401351376,TRUE
"130","MPI",10,20,-0.00297452786710313,0.0124390191426935,-4.18184656471473,336.187806831305,40.7635619433289,0.00343820364009876,2,0.865140107587605,-4.18184656471473,FALSE
"131","Roris_nostd",1,20,0.00808319327521435,-0.0162067151393265,-2.00498919022776,-123.713483762206,29.8233207082862,0.0185581282470138,20,0.435560804819583,-2.00498919022776,TRUE
"132","Roris_nostd",2,3,0.00444370279889072,-0.00982707857404347,-2.21146170632667,-225.037552072481,54.7729056640165,0.00431897250201317,1.5,1.02887962283145,-2.21146170632667,TRUE
"133","Roris_nostd",2,3,0.00363778010691013,-0.0100164205408549,-2.75344310169499,-274.892921125292,42.4225679096962,0.00400822957981032,1.5,0.907577780782275,-2.75344310169499,TRUE
"135","Roris_nostd",1,3,0.00408272785523291,-0.0167722876747505,-4.10810817411039,-244.934278124436,43.4783737234262,0.0135821418711138,3,0.300595288576388,-4.10810817411039,TRUE
"14","MPI",10,15,0.00353463214764601,-0.00600189592175517,-1.69802561371267,-282.914871542143,72.4561839062683,0.00161067332833812,1.5,2.19450591591594,-1.69802561371267,TRUE
"142","Roris_nostd",1,2,0.0114617779208791,-0.0228315654897399,-1.99197416381181,-87.2464993566459,51.2073591034546,0.0110993830306305,2,1.03265000309014,-1.99197416381181,TRUE
"146","Roris_nostd",2,20,0.00706730106329266,0.000570030489753435,0.0806574510762186,-141.496731360996,36.6754842146729,0.0103457350681591,10,0.683112511265011,0.0806574510762186,TRUE
"15","MPI",2,3,0.00319518329063138,-0.00575406124640113,-1.80085482522165,-312.971090870469,55.9954380028021,0.0036882823491722,1.5,0.866306586139889,-1.80085482522165,TRUE
"150","Roris_nostd",1,3,0.00517804373038113,-0.0172557693240072,-3.33248814079388,-193.123127588263,56.6556418185519,0.0141226820573739,3,0.366647334362208,-3.33248814079388,TRUE
"153","Roris_nostd",1,4,0.0107209083095759,-0.0230505973081832,-2.15006011082051,-93.2756788066926,36.8207491515257,0.0144708175669752,4,0.740864036185677,-2.15006011082051,TRUE
"154","Roris_nostd",1,5,0.00432192444310758,-0.0124877119684949,-2.88938692308926,-231.378408661159,24.798222038384,0.0162004897747326,5,0.266777393967951,-2.88938692308926,TRUE
"159","Roris_nostd",1,4,0.00272789120579093,-0.010054041775831,-3.68564617037794,-366.583534518217,18.9732074139396,0.0161540120371109,4,0.168867721500027,-3.68564617037794,TRUE
"16","MPI",1,2,0.0082355414445212,-0.0234888225808501,-2.85212851384244,-121.424924728569,68.0289916036424,0.0100234170167003,2,0.821630131800335,-2.85212851384244,TRUE
"160","Roris_nostd",2,6,0.0035296137589862,-0.00589671218371315,-1.67063950515845,-283.317118609382,37.6130757775173,0.00738392712850882,3,0.478013081326143,-1.67063950515845,TRUE
"161","Roris_nostd",1,9,0.0101694493191077,-0.0119698162352335,-1.17703681483943,-98.3337414466553,34.0181103182508,0.0169371245687816,9,0.600423600700908,-1.17703681483943,TRUE
"162","Roris_nostd",1,2,0.00533305724895647,-0.0149101011456296,-2.79578869110154,-187.509706593844,39.2734506693302,0.010763585011478,2,0.495472209609477,-2.79578869110154,TRUE
"163","Roris_nostd",1,4,0.00736753421853238,-0.0238017106167436,-3.2306209799301,-135.730621716637,38.014160325309,0.0158721855841905,4,0.46417893613031,-3.2306209799301,TRUE
"164","Roris_nostd",1,20,0.0145201895193827,-0.0229794458550095,-1.58258580746034,-68.8696245090408,42.3118014803958,0.0205908485404919,20,0.705176840615809,-1.58258580746034,TRUE
"165","Roris_nostd",1,10,0.00724137378390946,-0.0246754101463324,-3.40755923981743,-138.09534348607,31.3754460330346,0.0187602631542177,10,0.385995320235231,-3.40755923981743,TRUE
"166","Roris_nostd",2,16,0.0188262739483519,-0.0347118815930887,-1.84379987714602,-53.1172553179351,62.6598905989873,0.0122298431850317,8,1.53937165534499,-1.84379987714602,TRUE
"167","Roris_nostd",1,2,0.00552229480473324,-0.0176763607843314,-3.20090857322226,-181.084138996507,38.4956413486344,0.0104842188405459,2,0.526724488368817,-3.20090857322226,TRUE
"168","Roris_nostd",1,4,0.00970210739283113,-0.0236727819078172,-2.43996288118899,-103.070390742005,56.5362514266578,0.0163114729804502,4,0.594802652369863,-2.43996288118899,TRUE
"169","Roris_nostd",2,3,0.00433830382565715,-0.00816932181304481,-1.88306816243036,-230.504833268224,41.5210730400394,0.00398937146263858,1.5,1.08746549833386,-1.88306816243036,TRUE
"17","MPI",1,20,0.0354041020358753,-0.0572427306584393,-1.61683893579435,-28.2453145962208,75.1865178666369,0.0217154903159551,20,1.63036162300525,-1.61683893579435,TRUE
"170","Roris_nostd",2,3,0.00504466396886795,-0.0101804275129553,-2.01805860128278,-198.229258910263,41.6664460049091,0.00415872125529828,1.5,1.21303248262695,-2.01805860128278,TRUE
"172","Roris_nostd",1,13,1.22631864111089e-05,0.00130587021121491,106.487022820754,-81544.8747557261,4.00000014107302,0.0179696064083244,13,0.000682440457094709,106.487022820754,TRUE
"173","Roris_nostd",1,1,NA,NA,-2.03688192672417,NA,39.193224624735,0,1,NA,-2.03688192672417,NA
"174","Roris_nostd",1,1,NA,NA,-3.16124671203157,NA,43.8214009233768,0,1,NA,-3.16124671203157,NA
"175","Roris_nostd",2,3,0.00277713412065549,-0.00661307657970848,-2.38125934592874,-360.083437296852,44.0452427431401,0.00378011976905718,1.5,0.734668288393452,-2.38125934592874,TRUE
"177","Roris_nostd",1,5,0.00718383639406752,-0.0213806460795896,-2.97621561889215,-139.201388387103,48.897972798639,0.0168191396038416,5,0.427122704447181,-2.97621561889215,TRUE
"178","Roris_nostd",2,8,0.00546666459631676,-0.0072137113381775,-1.31958184210493,-182.926898546833,27.545271071117,0.00801085049554253,4,0.682407517074319,-1.31958184210493,TRUE
"18","MPI",1,2,0.00679380503649591,-0.0116715100793208,-1.71796364726721,-147.192919818579,59.6056392855932,0.00918423588176483,2,0.739724580679044,-1.71796364726721,TRUE
"181","Roris_nostd",4,5,0.00150635105015762,-0.00163834105168838,-1.08762233844292,-663.855878678058,30.4184992834715,0.00128421629744917,1.25,1.1729730055207,-1.08762233844292,TRUE
"185","Roris_nostd",10,13,-0.00236743669929351,0.00806372556512202,-3.40609975655459,422.397777435156,47.8478109558558,0.00165781822744127,1.3,1.4280435937464,-3.40609975655459,FALSE
"186","Roris_nostd",1,20,0.00462471238234603,-0.010040343168575,-2.17102001994807,-216.229663020194,30.9893696092395,0.020223726279857,20,0.228677560126607,-2.17102001994807,TRUE
"187","Roris_nostd",1,10,0.0157975562017481,-0.0299091339138236,-1.8932759935688,-63.3009300444422,42.3689483597928,0.0183977545429342,10,0.858667625164901,-1.8932759935688,TRUE
"188","Roris_nostd",1,1,NA,NA,-2.62708113854963,NA,45.948619287349,0,1,NA,-2.62708113854963,NA
"19","MPI",1,8,0.00976492603287048,-0.018622508023911,-1.90708131953322,-102.407329726188,42.3403260290623,0.0179590026868581,8,0.543734315492708,-1.90708131953322,TRUE
"190","Roris_nostd",1,16,0.0141341920792372,-0.0318126600527801,-2.25075900160662,-70.7504181628447,54.7578356494972,0.019178054803856,16,0.736998210913202,-2.25075900160662,TRUE
"191","Roris_nostd",4,7,0.00216568910168734,-0.00236389369936911,-1.09152033758093,-461.746794228624,34.5813136680946,0.00285170952689983,1.75,0.759435377712444,-1.09152033758093,TRUE
"192","Roris_nostd",1,20,0.00704239359316923,-0.0043699253895613,-0.620517063090582,-141.997175643513,21.0228007951714,0.0200384976005916,20,0.351443193673428,-0.620517063090582,TRUE
"197","Roris_nostd",2,3,0.00182005683482436,-0.0050572982524192,-2.77864853209775,-549.433391785538,49.4042962328786,0.00365178280121106,1.5,0.498402269220603,-2.77864853209775,TRUE
"199","Roris_nostd",1,20,0.0145491194358521,-0.0231557938789373,-1.59155981783176,-68.7326820299372,49.5159592697369,0.0197773435874851,20,0.7356457843539,-1.59155981783176,TRUE
"2","MPI",2,4,0.00572689240098432,-0.00592778059393637,-1.03507804562864,-174.614770102564,30.7078766151357,0.00578183283702807,2,0.990497747411185,-1.03507804562864,TRUE
"20","MPI",1,2,0.00706647527034816,-0.0182733169862656,-2.58591678130436,-141.51326676202,63.7864703855692,0.0103256668561537,2,0.684360184072455,-2.58591678130436,TRUE
"201","Roris_nostd",2,3,0.00354313554601427,-0.0116242017043206,-3.28076686690601,-282.235885986613,54.7765382007435,0.00401460568537661,1.5,0.882561283395852,-3.28076686690601,TRUE
"203","Roris_nostd",10,20,0.00409440058582899,-0.010000024878746,-2.44236602382208,-244.235994753681,63.3345801926574,0.00239250541741435,2,1.71134433219128,-2.44236602382208,TRUE
"204","Roris_smiley",9,10,0.000367138947787093,-0.000639645870877537,-1.74224465895804,-2723.76441134191,36.7560791558803,0.00034228041531638,1.11111111111111,1.07262621920023,-1.74224465895804,TRUE
"206","Roris_smiley",2,3,0.000952374204369936,-0.00466350580719269,-4.89671579279905,-1050.00743973486,31.4477996424473,0.00378852213725904,1.5,0.251384093814209,-4.89671579279905,TRUE
"209","Roris_smiley",1,14,0.00684635003195538,-0.0112667499236381,-1.64565788647242,-146.06323009085,24.2195777720803,0.0197933246677468,14,0.345891867428998,-1.64565788647242,TRUE
"21","MPI",1,2,0.0158450366593378,-0.0257704090800406,-1.62640261642144,-63.1112455906298,59.5662374013641,0.0107255725579705,2,1.47731382858092,-1.62640261642144,TRUE
"211","Roris_smiley",10,12,0.000271286351297693,-0.000292280506017191,-1.07738743441781,-3686.14195007054,31.349234783038,0.000527658543179053,1.2,0.514132396422957,-1.07738743441781,TRUE
"213","Roris_smiley",1,4,0.0055220938466464,-0.0253759539748484,-4.59535000301731,-181.090728946468,38.7088249053952,0.0156503642961249,4,0.352841233734967,-4.59535000301731,TRUE
"214","Roris_smiley",1,1,NA,NA,-2.63905732959092,NA,60.7832064307125,0,1,NA,-2.63905732959092,NA
"216","Roris_smiley",1,20,0.0141201904086009,-0.0261191942262717,-1.84977634652589,-70.8205747275815,40.8019951063287,0.0210669858966522,20,0.670252046394769,-1.84977634652589,TRUE
"217","Roris_smiley",1,2,0.0051381324898675,-0.0152861527640956,-2.97504059971989,-194.62324141544,45.2458552082311,0.0104955271581054,2,0.489554494258962,-2.97504059971989,TRUE
"218","Roris_smiley",1,4,0.00932588335334772,-0.0249974321098477,-2.68043585392631,-107.228448192099,48.3633710738303,0.0161037413079161,4,0.579112839372513,-2.68043585392631,TRUE
"219","Roris_smiley",1,5,0.00386411808018284,-0.0203529071466359,-5.26715455488175,-258.791263426578,43.5058679892124,0.0162534444175722,5,0.23774148918276,-5.26715455488175,TRUE
"22","MPI",1,4,0.00618351420279304,-0.00729698441907885,-1.18007077848756,-161.720336883565,33.4566859773521,0.0149088092259808,4,0.414755739983401,-1.18007077848756,TRUE
"222","Roris_smiley",1,20,0.0148972042165513,-0.0339932321113907,-2.28185313279273,-67.1266893749744,45.2023629839954,0.0200751693740533,20,0.742071159599064,-2.28185313279273,TRUE
"224","Roris_smiley",5,20,0.00713307240359199,-0.00945485006770636,-1.32549475636126,-140.192043963613,49.5460526789039,0.00651146589682162,4,1.09546337439528,-1.32549475636126,TRUE
"225","Roris_smiley",2,6,0.00416905282124137,-0.0114193901181475,-2.73908501709682,-239.862636161621,38.0770803994627,0.00767775283475625,3,0.543004302296445,-2.73908501709682,TRUE
"23","MPI",1,3,0.00682849883568215,-0.00177335431372536,-0.259698999208836,-146.445071466444,25.6146589500824,0.0137646261409145,3,0.496090396192081,-0.259698999208836,TRUE
"231","Roris_smiley",9,10,0.000137560557694958,0.000536948083403275,3.9033578549017,-7269.5256311588,23.8083392043997,0.000287999274058826,1.11111111111111,0.477642029288104,3.9033578549017,TRUE
