run_id,cohort,poli.dm1,poli.antidm1,poli.dlydm1,poli.antidlydm1,poli.dlyms,poli.dlynms
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-both,0.9706848889156644,0.9493278399390612,0.8370342092794574,0.83057376455444,0.9939501725145454,0.9573860041589352
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-both,0.9681301818222128,0.9579553406673208,0.8300708139361521,0.9075530179673424,0.946996077785244,0.9955833301689592
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-both,0.9632873110387914,0.9523339012191552,0.8257519712473123,0.8268701343298772,0.9968314575771546,0.9990567799973412
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-both,0.9513220024627886,0.9768223377470464,0.8082362909050597,0.8289767457498703,0.9971142088457118,0.9998292516899444
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,0.9530386026583292,0.9312994791284724,0.8386134194526225,0.8733190534568398,0.986978720134422,0.9901375167669872
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,0.973352000938267,0.9352995639335376,0.79563881082688,0.7789189389374532,0.923557822103396,0.9727335422995402
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,0.9507006346926394,0.962057913197193,0.8592594313405546,0.8416990078520572,0.9703138811961955,0.886196048237188
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,0.9570337198616335,0.9526668656382532,0.8608418803268825,0.8713131802071155,0.988821517257235,0.99323041786571
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,0.957465385204878,0.915072793397788,0.7721984932722927,0.8122308324299052,0.9979588991035606,0.997519859912192
run_641_dist-1e-05_beta0.001_alpha0.03_trav500_blk1_temp1.0_eps-0.01,C-both,0.9687245082375966,0.9447413931162488,0.8676743526995291,0.8132511895900723,0.9985282216906508,0.9724482160052536
run_647_dist-1e-05_beta0.001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,0.9559247722403416,0.9798021761778414,0.8584422805068429,0.8752813364568854,0.999687060519356,0.999991615992396
run_649_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp0.001,C-reg,0.9558605478580257,0.9571535567937666,0.8519259223517306,0.7790356321700489,0.9926617923556372,0.9272462039094352
run_653_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,0.9580541801232044,0.9555332679851614,0.8793648257025368,0.8741804834646606,0.9506974147058426,0.9983485500437436
run_659_dist-1e-05_beta0.003_alpha0.03_trav500_blk1_temp1.0_eps-0.01,C-both,0.9347321770616422,0.94484697441402,0.8456136049295139,0.8543996085119894,0.9957905733548864,0.970744144387448
run_665_dist-1e-05_beta0.003_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,0.9378767314952078,0.9791379037822292,0.8175924791693027,0.8111147304341275,0.9952907661904834,0.9998095750815053
run_1158_dist-1e-05_beta0.0001_alpha0.2_trav50_blk1_temp1.0,C-both,0.971985100132394,0.9712352784418562,0.8604749437793394,0.8821423766983814,0.9982937861205464,0.9974743452184368
run_1190_dist-1e-05_beta0.003_alpha0.2_trav50_blk1_temp1.0,C-both,0.9587652373051964,0.958519486769913,0.8141153770532594,0.8461740982035435,0.9993497850383108,0.995974135959714
run_1191_dist-1e-05_beta0.003_alpha0.2_trav50_blk1_temp1.0_eps-0.01,C-both,0.947021934261798,0.9742073036580872,0.8729163679874763,0.8635248617594585,0.9896051880739324,0.966109679669893
run_1210_dist-1e-05_beta0.01_alpha0.03_trav50_blk1_temp1.0,C-both,0.9626555338816728,0.968211998043248,0.768162533623559,0.8930416084882866,0.9988015001115076,0.984856826813185
run_1211_dist-1e-05_beta0.01_alpha0.03_trav50_blk1_temp1.0_eps-0.01,C-both,0.9353894819101078,0.9621447131638684,0.8806168943472708,0.8484244809578745,0.9932605790708364,0.9984121158448848
run_1220_dist-1e-05_beta0.01_alpha0.1_trav50_blk1_temp1.0,C-both,0.970746088476286,0.9672115060459784,0.8520790233140261,0.8383343058511036,0.973475357430832,0.9796004823034908
run_1221_dist-1e-05_beta0.01_alpha0.1_trav50_blk1_temp1.0_eps-0.01,C-both,0.9533801226611192,0.9801703430255247,0.8570424617164378,0.8549437168227306,0.9967316646691596,0.9998868167306986
run_1230_dist-1e-05_beta0.01_alpha0.2_trav50_blk1_temp1.0,C-both,0.9691415331179074,0.9649726603452308,0.8801687545175689,0.8502673907796752,0.9748724516707248,0.9875017975658958
run_1358_dist-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp1.0,C-temp,0.9642421288330422,0.9584928260455382,0.7631977356910252,0.772582859031524,0.8946041864834418,0.9821022109967924
run_1368_dist-0.0005_beta0.001_alpha0.01_trav50_blk1_temp1.0,C-temp,0.9568991476492628,0.938754289420409,0.8252826615951867,0.8494800091747619,0.9883746312556424,0.9990694761129866
run_1408_dist-0.0005_beta0.003_alpha0.01_trav50_blk1_temp1.0,C-temp,0.9682969240909022,0.9532220802489552,0.8114777294959072,0.8349283975225689,0.9805926343917156,0.9700779313571838
run_1418_dist-0.0005_beta0.003_alpha0.03_trav50_blk1_temp1.0,C-temp,0.9520898812392122,0.966015571328187,0.8538828061713045,0.8055245177228538,0.9992985046284388,0.9954683143334344
run_1428_dist-0.0005_beta0.003_alpha0.1_trav50_blk1_temp1.0,C-temp,0.9747792656996832,0.9525528339383657,0.7686597665626098,0.843387777190214,0.9801264658196346,0.9489223908597996
run_1438_dist-0.0005_beta0.003_alpha0.2_trav50_blk1_temp1.0,C-temp,0.9509282830331968,0.9680740942499896,0.8032221236213187,0.7982886450411617,0.9949296034091636,0.9723807725999168
run_1439_dist-0.0005_beta0.003_alpha0.2_trav50_blk1_temp1.0_eps-0.01,C-temp,0.9556014958263688,0.9558042930809144,0.8087716636235049,0.8452167276657143,0.9931157468517076,0.956853950422145
run_1458_dist-0.0005_beta0.01_alpha0.03_trav50_blk1_temp1.0,C-temp,0.9650592137412352,0.9647987070399796,0.7814654858580805,0.8113784192662612,0.9524000030833004,0.9445990234574084
run_1459_dist-0.0005_beta0.01_alpha0.03_trav50_blk1_temp1.0_eps-0.01,C-temp,0.935942103969152,0.9629910365594642,0.8329056071453769,0.8360977193375415,0.960601170395934,0.9340565392526954
run_1468_dist-0.0005_beta0.01_alpha0.1_trav50_blk1_temp1.0,C-temp,0.9765489492892698,0.9810875312451922,0.8509521639231279,0.8675617377685932,0.9904907259703858,0.986312547537665
run_1469_dist-0.0005_beta0.01_alpha0.1_trav50_blk1_temp1.0_eps-0.01,C-temp,0.9689199534971856,0.9313416452598916,0.8300217104388908,0.7608281265016036,0.9699598917824824,0.9844579171343992
run_1478_dist-0.0005_beta0.01_alpha0.2_trav50_blk1_temp1.0,C-temp,0.9559321253927332,0.97195378575169,0.8432621283797701,0.8661638049727777,0.9931561130121738,0.96781838560433
run_1919_dist-1e-05_beta0.0001_alpha0.2_trav500_blk1_temp1.0_eps-0.01,C-both,0.9628604049433598,0.9601051682662752,0.8544650850386971,0.9002592217214952,0.9999856199887048,0.9997579927705892
run_1926_dist-1e-05_beta0.001_alpha0.2_trav500_blk1_temp0.0001,C-reg,0.9732846824529106,0.928460537666305,0.7909260694255023,0.763681520135719,0.998165633801345,0.9969257992772426
run_1934_dist-1e-05_beta0.001_alpha0.2_trav500_blk1_temp1.0,C-both,0.9483763546558144,0.9444002116056648,0.8430327752834165,0.8323978286625983,0.9731475416790596,0.9773175918225034
run_1935_dist-1e-05_beta0.001_alpha0.2_trav500_blk1_temp1.0_eps-0.01,C-both,0.9396435228732628,0.9686570906554266,0.8212078695389995,0.8687570284913602,0.9990103053309628,0.9999999971109615
run_1951_dist-1e-05_beta0.003_alpha0.2_trav500_blk1_temp1.0_eps-0.01,C-both,0.9527751965724316,0.9603855470542804,0.8401072863404931,0.8420575124646538,0.9711148573562944,0.9836709737418328
run_2089_dist-0.0005_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-temp,0.9617979887589152,0.9431205473161888,0.7703222558848082,0.8310215730681998,0.981583525392481,0.9871615742880204
run_2109_dist-0.0005_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-temp,0.9450393156024712,0.9592112504923244,0.8192063822393041,0.691496152842354,0.9344302436658184,0.885907086806035
run_2119_dist-0.0005_beta0.0001_alpha0.2_trav500_blk1_temp1.0_eps-0.01,C-temp,0.98019705672115,0.9729433359415116,0.7751370055368377,0.7783848984933336,0.9752093046944336,0.97837398593019
run_2122_dist-0.0005_beta0.001_alpha0.01_trav500_blk1_temp0.001,H-100,0.9351486073514828,0.9482805518401968,0.7548407226170477,0.6462652309298421,0.9874961325257552,0.9859746911543288
run_2128_dist-0.0005_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-temp,0.9426875498869444,0.9601686964522782,0.7415471826236328,0.7550584775625124,0.994637621660942,0.9774299904425362
run_2139_dist-0.0005_beta0.001_alpha0.03_trav500_blk1_temp1.0_eps-0.01,C-temp,0.9683539426435658,0.9468735503988106,0.8380287713174791,0.8551433892250101,0.9505183726026064,0.9999590108419666
run_2149_dist-0.0005_beta0.001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-temp,0.8996483503817756,0.952061783263486,0.8145108341317384,0.8149288788131464,0.9845390126492196,0.9995189448597638
run_2150_dist-0.0005_beta0.001_alpha0.2_trav500_blk1_temp0.0001,H-100,0.9193788773920132,0.9160872931230628,0.6645486491170626,0.6185304810273633,0.9639291396241936,0.9488974939776328
run_2158_dist-0.0005_beta0.001_alpha0.2_trav500_blk1_temp1.0,C-temp,0.9741805081619912,0.9616874717106249,0.8474016949259469,0.7965790787956833,0.9377228236598468,0.9353863366375726
run_2159_dist-0.0005_beta0.001_alpha0.2_trav500_blk1_temp1.0_eps-0.01,C-temp,0.9561862151390867,0.9341681760352863,0.7949952994345728,0.7886071674796762,0.998399000599052,0.9690793094326632
run_2162_dist-0.0005_beta0.003_alpha0.01_trav500_blk1_temp0.001,H-100,0.9076874766439744,0.9428296372947124,0.6768083793386668,0.7185486851002445,0.993649280929936,0.9929688307025848
run_2168_dist-0.0005_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-temp,0.9440527958320988,0.9609523779690048,0.8076644038064291,0.7851967542041587,0.9962130663209848,0.992753958669016
run_2169_dist-0.0005_beta0.003_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-temp,0.9719967676380422,0.9680481858362768,0.8279451224069677,0.8099424236577863,0.9986779980940618,0.9994549351934188
run_2179_dist-0.0005_beta0.003_alpha0.03_trav500_blk1_temp1.0_eps-0.01,C-temp,0.964160745985231,0.9630512242551064,0.8049838144334304,0.8291145041685357,0.9999166387369484,0.9980309715864174
run_2189_dist-0.0005_beta0.003_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-temp,0.9585412549908828,0.9653948359764448,0.8166506058198992,0.8477477770774826,0.9940121406697342,0.9480735532652595
run_2199_dist-0.0005_beta0.003_alpha0.2_trav500_blk1_temp1.0_eps-0.01,C-temp,0.931874275311112,0.9529402530087832,0.8006069140057689,0.7564056578770612,0.9590004038634712,0.9813051347616988
run_2508_dist-1e-05_beta0.0001_alpha0.2_trav50_blk1_temp0.003,C-reg,0.8925164349714418,0.8540274236665635,0.7031303912124739,0.6750627191749061,0.9791008986107764,0.9854007978370282
run_2514_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.005,C-reg,0.9534905983980204,0.8987878606538195,0.6858701267017271,0.6510541632365088,0.9491292864769986,0.9846534640658656
run_2530_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp0.005,C-reg,0.8985934177636239,0.9365398048014484,0.6099726999508496,0.7130430764244853,0.9813325762351156,0.9723161145739811
run_2532_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp0.003,C-reg,0.876489310577751,0.8819985488746618,0.6020615054269046,0.4703343826634723,0.9964028931571064,0.9892775214526732
run_2534_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp0.005,C-reg,0.9432267125036032,0.9573093362360212,0.7820560355203403,0.7690743105940391,0.981788356307712,0.9788020323834484
run_2536_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp0.003,C-reg,0.914189588065752,0.9446071514327588,0.5338068751199143,0.4862053605143807,0.9583681910928664,0.9744816088840358
run_2538_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp0.005,C-reg,0.9323988594322012,0.9048099121761324,0.7968269000726935,0.789190075742576,0.9931096511515484,0.9999549096292466
run_2540_dist-1e-05_beta0.003_alpha0.2_trav50_blk1_temp0.003,C-reg,0.8880734339901054,0.9349328065655989,0.6507606058773153,0.7366860663158022,0.9685807679327988,0.8752549003765837
run_2543_dist-1e-05_beta0.003_alpha0.2_trav50_blk1_temp0.005_eps-0.01,C-reg,0.9289776599463698,0.9433108491686976,0.5350110095599113,0.4758233463112771,0.9885099680556584,0.977525792586986
run_2548_dist-1e-05_beta0.01_alpha0.03_trav50_blk1_temp0.003,C-reg,0.9419698305901856,0.9477076819249028,0.541923777744196,0.5285170519282719,0.952813706139332,0.9896162958483667
run_2550_dist-1e-05_beta0.01_alpha0.03_trav50_blk1_temp0.005,C-reg,0.9587357218529184,0.954566767024016,0.849550090016599,0.7892884962783352,0.9278564071726144,0.999999305599521
run_2551_dist-1e-05_beta0.01_alpha0.03_trav50_blk1_temp0.005_eps-0.01,C-reg,0.9261527300964671,0.8782111502116002,0.5119663407951851,0.6132249294438907,0.9723664408386874,0.97462669203412
run_2552_dist-1e-05_beta0.01_alpha0.1_trav50_blk1_temp0.003,C-reg,0.9476272249976312,0.9361138314102232,0.797274071767158,0.7637082010825047,0.9834871389232396,0.9878954833250134
run_2554_dist-1e-05_beta0.01_alpha0.1_trav50_blk1_temp0.005,C-reg,0.927942654214078,0.8965545193432984,0.641355031144276,0.8271158917695256,0.9995771412919416,0.9470808249432364
run_2555_dist-1e-05_beta0.01_alpha0.1_trav50_blk1_temp0.005_eps-0.01,C-reg,0.902644632365907,0.9083557132270818,0.4664089108546089,0.6344099233832715,0.9519982820474904,0.996059797535886
run_2556_dist-1e-05_beta0.01_alpha0.2_trav50_blk1_temp0.003,C-reg,0.944864504272924,0.9612759322594936,0.7322994684002383,0.7183901654803989,0.99792332744672,0.955873329533643
run_2636_dist-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.003,H-100,0.939371838368332,0.8988665258970508,0.5971505999917252,0.5558692093275717,0.9719191854801186,0.977206929081608
run_2642_dist-0.0005_beta0.001_alpha0.01_trav50_blk1_temp0.005,H-100,0.9335148953106012,0.8700219658709273,0.467524696787636,0.4906453010996422,0.9807726851923756,0.9854525774662736
run_2658_dist-0.0005_beta0.003_alpha0.01_trav50_blk1_temp0.005,H-100,0.922180800258584,0.9023334217114736,0.591913315333868,0.5303450280447048,0.9673511857034868,0.9857787254616736
run_2660_dist-0.0005_beta0.003_alpha0.03_trav50_blk1_temp0.003,H-100,0.8686720498936551,0.838115171674694,0.5005472041392429,0.4400306823645197,0.8393083470701801,0.8592659997513551
run_2662_dist-0.0005_beta0.003_alpha0.03_trav50_blk1_temp0.005,H-100,0.9222724178375834,0.9179675176730429,0.6072892124480771,0.5671117408840836,0.9696088478467952,0.978791907325437
run_2664_dist-0.0005_beta0.003_alpha0.1_trav50_blk1_temp0.003,H-100,0.9222925090914332,0.9129541361857076,0.4725503548283114,0.4856631950564588,0.9697571790349168,0.9743141832323008
run_2666_dist-0.0005_beta0.003_alpha0.1_trav50_blk1_temp0.005,H-100,0.937609570458166,0.9575963003464956,0.56317767415889,0.493981824815091,0.9538586138187164,0.9505666792066622
run_2668_dist-0.0005_beta0.003_alpha0.2_trav50_blk1_temp0.003,H-100,0.9489570515961748,0.9357886393415232,0.6110895735643658,0.5703883772176149,0.986895687547696,0.9859901280600388
run_2671_dist-0.0005_beta0.003_alpha0.2_trav50_blk1_temp0.005_eps-0.01,H-100,0.941564372962113,0.8921407889194574,0.6016983917332306,0.5104947632053156,0.9257145325376273,0.8613399770731214
run_2676_dist-0.0005_beta0.01_alpha0.03_trav50_blk1_temp0.003,H-100,0.9478012235772189,0.9091522919579058,0.6013821370025181,0.462525127382691,0.9450884954400934,0.9848935708295103
run_2678_dist-0.0005_beta0.01_alpha0.03_trav50_blk1_temp0.005,H-100,0.9525633740629014,0.9194682030538932,0.5996710560702511,0.4944473737623085,0.9745742783883846,0.9948437641376772
run_2679_dist-0.0005_beta0.01_alpha0.03_trav50_blk1_temp0.005_eps-0.01,H-100,0.9163364087425304,0.8241189733320733,0.5075739824677573,0.4460633784258989,0.9312665663910608,0.9410849703582516
run_2680_dist-0.0005_beta0.01_alpha0.1_trav50_blk1_temp0.003,H-100,0.91532030371501,0.9256360618550448,0.6039034692420826,0.5432323822516042,0.9830627662372604,0.9821121394524424
run_2682_dist-0.0005_beta0.01_alpha0.1_trav50_blk1_temp0.005,H-100,0.9646036408314992,0.9398903402529388,0.6636625728649848,0.6387735554989596,0.9980438798897042,0.9964193901822068
run_2683_dist-0.0005_beta0.01_alpha0.1_trav50_blk1_temp0.005_eps-0.01,H-100,0.8519194852102686,0.8353527435775977,0.503548570642976,0.5130793192292965,0.9014587143127358,0.9595927963341316
run_2684_dist-0.0005_beta0.01_alpha0.2_trav50_blk1_temp0.003,H-100,0.8935927448152756,0.9236037159857036,0.5692204203416786,0.5206362016595191,0.9706948398275972,0.9879454428645223
run_2945_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp0.003_eps-0.01,C-reg,0.8999847457177105,0.8490364534894167,0.6159210892581408,0.5428317138708787,0.999869363422502,0.9788892941906656
run_2953_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp0.003_eps-0.01,C-reg,0.9514303335132552,0.8320021170051551,0.7529293418413092,0.5842509863165488,0.9832890023331524,0.988823189196913
run_2955_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp0.005_eps-0.01,C-reg,0.9409329263513584,0.9589613021236713,0.8314964943709247,0.7150212588106865,0.9980550723937912,0.9691681507777034
run_2957_dist-1e-05_beta0.0001_alpha0.2_trav500_blk1_temp0.003_eps-0.01,C-reg,0.9055289642948884,0.913411647371668,0.7155393480867319,0.5893489590550126,0.9399485841321932,0.9899903600111042
run_2965_dist-1e-05_beta0.001_alpha0.03_trav500_blk1_temp0.003_eps-0.01,C-reg,0.919073154474238,0.9238052635285784,0.5698638589820885,0.4845947764621175,0.9493301557573616,0.9693875755363708
run_2969_dist-1e-05_beta0.001_alpha0.1_trav500_blk1_temp0.003_eps-0.01,C-reg,0.9363164784203092,0.8912432495438981,0.7241690845333605,0.6635036270313349,0.9727920707228644,0.977189073194773
run_2973_dist-1e-05_beta0.001_alpha0.2_trav500_blk1_temp0.003_eps-0.01,C-reg,0.946267142526352,0.8694246827802968,0.6791884702539679,0.4904145291374154,0.9785620790493912,0.9412792978490552
run_2977_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp0.003_eps-0.01,C-reg,0.933017351061738,0.975950504449538,0.7199820046155407,0.6370879917079952,0.9824973461238856,0.9650943847733676
run_2983_dist-1e-05_beta0.003_alpha0.03_trav500_blk1_temp0.005_eps-0.01,C-reg,0.936562579284873,0.9564320857646166,0.7296153428096883,0.7255772683745095,0.9701927981513144,0.9710365297038432
run_2985_dist-1e-05_beta0.003_alpha0.1_trav500_blk1_temp0.003_eps-0.01,C-reg,0.925217266144776,0.9064617238404148,0.618545687737463,0.4839539574728315,0.9502807551144096,0.9816082817127896
run_2991_dist-1e-05_beta0.003_alpha0.2_trav500_blk1_temp0.005_eps-0.01,C-reg,0.9506627228981944,0.9560661890038722,0.827022343059425,0.8305235058123319,0.9495283091117224,0.9512545853841649
run_3073_dist-0.0005_beta0.0001_alpha0.01_trav500_blk1_temp0.003_eps-0.01,H-100,0.9346327089250428,0.949075665148898,0.4500571544274394,0.4863522205926845,0.953496294533047,0.9051110924384532
run_3081_dist-0.0005_beta0.0001_alpha0.1_trav500_blk1_temp0.003_eps-0.01,H-100,0.9384443419291332,0.936719037883106,0.5471583603444558,0.4852254480749418,0.9578173330407724,0.9440986567961004
run_3083_dist-0.0005_beta0.0001_alpha0.1_trav500_blk1_temp0.005_eps-0.01,H-100,0.9390007432300796,0.9241841502916656,0.6105744821965251,0.6106848919217336,0.9832339501431552,0.9903487431109465
run_3085_dist-0.0005_beta0.0001_alpha0.2_trav500_blk1_temp0.003_eps-0.01,H-100,0.90841439495715,0.8587583100975014,0.503281776114229,0.6419170465737916,0.9221439325875518,0.93936198995633
run_3093_dist-0.0005_beta0.001_alpha0.03_trav500_blk1_temp0.003_eps-0.01,H-100,0.9115629073663408,0.917402737471816,0.5298082191689955,0.4658246977249619,0.97759968102194,0.945381910107732
run_3097_dist-0.0005_beta0.001_alpha0.1_trav500_blk1_temp0.003_eps-0.01,H-100,0.8987936471341005,0.9067821604867076,0.5715094914270991,0.5587859954188118,0.9537556753804552,0.97318729399255
run_3101_dist-0.0005_beta0.001_alpha0.2_trav500_blk1_temp0.003_eps-0.01,H-100,0.9427080823906132,0.9013888567768832,0.5790640691635395,0.5625369247539922,0.9857801911433276,0.9899415297527422
run_3105_dist-0.0005_beta0.003_alpha0.01_trav500_blk1_temp0.003_eps-0.01,H-100,0.9215886234671056,0.9002678048702311,0.5854339832534556,0.4589450785811627,0.968429266180838,0.9472616513059062
run_3111_dist-0.0005_beta0.003_alpha0.03_trav500_blk1_temp0.005_eps-0.01,H-100,0.9129224985681892,0.9154019472386056,0.5151548551837585,0.6915852060370608,0.9838046358946404,0.983865899814484
run_3113_dist-0.0005_beta0.003_alpha0.1_trav500_blk1_temp0.003_eps-0.01,H-100,0.927001552555175,0.8150013853137799,0.5339221978494744,0.5692406840443203,0.9844929935627362,0.9806989380444086
run_3119_dist-0.0005_beta0.003_alpha0.2_trav500_blk1_temp0.005_eps-0.01,H-100,0.9487241248549608,0.95244509822643,0.7519973723103613,0.751467670180219,0.9642092268377344,0.987079293553664
